inst,args,energy,time,freq,thr
ADC,"['rax', '<0000000000000001>']",9002437836,0.10087285041809083,2200000,1
ADC,"['<0000000000000001>', 'rax']",33542768776,0.37321418126424155,2200000,1
SBB,"['rax', 'rax']",9040708676,0.10274206002553304,2200000,1
SBB,"['rax', 'rcx']",8924585437,0.10118325551350911,2200000,1
SBB,"['rax', '0']",4306748484,0.04887028535207113,2200000,1
SBB,"['rax', '<0000000000000001>']",9223726694,0.1034786065419515,2200000,1
SBB,"['<0000000000000001>', 'rax']",32836985378,0.365584397315979,2200000,1
AND,"['rax', 'rax']",4676769109,0.05306200981140137,2200000,1
AND,"['rax', 'rcx']",4443356091,0.050513450304667154,2200000,1
AND,"['rax', '0']",4418061380,0.050337449709574385,2200000,1
AND,"['rax', '<0000000000000001>']",4831910297,0.0535627285639445,2200000,1
AND,"['<0000000000000001>', 'rax']",29921020040,0.3304547071456909,2200000,1
OR,"['rax', 'rax']",4971855872,0.056232055028279625,2200000,1
OR,"['rax', 'rcx']",4035226282,0.04614381790161133,2200000,1
OR,"['rax', '0']",5043871197,0.0570037841796875,2200000,1
OR,"['rax', '<0000000000000001>']",4147961309,0.04618173440297445,2200000,1
OR,"['<0000000000000001>', 'rax']",30667119001,0.33905672232309975,2200000,1
XOR,"['rax', 'rax']",1215129190,0.013859089215596516,2200000,1
XOR,"['rax', 'rcx']",4543540974,0.05170419216156006,2200000,1
XOR,"['rax', '0']",4461155669,0.0507795254389445,2200000,1
XOR,"['rax', '<0000000000000001>']",4964323601,0.05514298280080159,2200000,1
XOR,"['<0000000000000001>', 'rax']",31409914948,0.3474246025085449,2200000,1
ADD,"['rax', 'rax']",5191912652,0.06287590662638347,2000000,1
ADD,"['rax', 'rcx']",4928488516,0.05974706013997396,2000000,1
ADD,"['rax', '0']",4305717384,0.05258146127065023,2000000,1
ADD,"['rax', '<0000000000000001>']",5071232477,0.06027503808339437,2000000,1
ADD,"['<0000000000000001>', 'rax']",31652417809,0.37510361671447756,2000000,1
SUB,"['rax', 'rax']",1243211366,0.01524653434753418,2000000,1
SUB,"['rax', 'rcx']",4191234730,0.051194469134012856,2000000,1
SUB,"['rax', '0']",5054914013,0.06130638917287191,2000000,1
SUB,"['rax', '<0000000000000001>']",5566955520,0.06612157026926677,2000000,1
SUB,"['<0000000000000001>', 'rax']",31384030412,0.372003436088562,2000000,1
ADC,"['rax', 'rax']",9478952277,0.11510062217712402,2000000,1
ADC,"['rax', 'rcx']",9136050449,0.11104489167531331,2000000,1
ADC,"['rax', '0']",4328277060,0.05278023878733317,2000000,1
ADC,"['rax', '<0000000000000001>']",9835915946,0.11813069979349772,2000000,1
ADC,"['<0000000000000001>', 'rax']",34225837397,0.40808326403299966,2000000,1
SBB,"['rax', 'rax']",12003787844,0.14449137846628826,2000000,1
SBB,"['rax', 'rcx']",11239017676,0.13576836585998536,2000000,1
SBB,"['rax', '0']",4148627592,0.050664814313252766,2000000,1
SBB,"['rax', '<0000000000000001>']",9483913352,0.11396762530008951,2000000,1
SBB,"['<0000000000000001>', 'rax']",34789425152,0.4148620049158732,2000000,1
AND,"['rax', 'rax']",4171626359,0.0509787638982137,2000000,1
AND,"['rax', 'rcx']",4975565209,0.06031683286031087,2000000,1
AND,"['rax', '0']",4430491374,0.053959441184997556,2000000,1
AND,"['rax', '<0000000000000001>']",4967421269,0.05903757413228353,2000000,1
AND,"['<0000000000000001>', 'rax']",31289372398,0.37085233529408773,2000000,1
OR,"['rax', 'rax']",4330900684,0.052770717938741045,2000000,1
OR,"['rax', 'rcx']",4777484834,0.05802434285481771,2000000,1
OR,"['rax', '0']",5089390318,0.06166624228159587,2000000,1
OR,"['rax', '<0000000000000001>']",4255141068,0.0507885217666626,2000000,1
OR,"['<0000000000000001>', 'rax']",31460039065,0.37291684945424397,2000000,1
XOR,"['rax', 'rax']",1522694007,0.018496131896972655,2000000,1
XOR,"['rax', 'rcx']",8429550523,0.10064553419748942,2000000,1
XOR,"['rax', '0']",7307517405,0.08719215393066407,2000000,1
XOR,"['rax', '<0000000000000001>']",9075530137,0.10718624591827393,2000000,1
XOR,"['<0000000000000001>', 'rax']",58719334126,0.6923286358515421,2000000,1
ADD,"['rax', 'rax']",6145374071,0.07933022181193033,1800000,1
ADD,"['rax', 'rcx']",10339632196,0.13196083704630535,1800000,1
ADD,"['rax', '0']",5525386035,0.07152132193247478,1800000,1
ADD,"['rax', '<0000000000000001>']",10796671522,0.13688658873240153,1800000,1
ADD,"['<0000000000000001>', 'rax']",49889653555,0.6313072443008423,1800000,1
SUB,"['rax', 'rax']",2061965721,0.02657291094462077,1800000,1
SUB,"['rax', 'rcx']",7220391662,0.0930607000986735,1800000,1
SUB,"['rax', '0']",7662241928,0.09850622018178304,1800000,1
SUB,"['rax', '<0000000000000001>']",8105367961,0.10282798608144124,1800000,1
SUB,"['<0000000000000001>', 'rax']",48267604787,0.6109692096710205,1800000,1
ADC,"['rax', 'rax']",14367350237,0.18486879666646322,1800000,1
ADC,"['rax', 'rcx']",13187787434,0.17012799580891927,1800000,1
ADC,"['rax', '0']",9358488371,0.11976053714752197,1800000,1
ADC,"['rax', '<0000000000000001>']",20144128000,0.2565583070119222,1800000,1
ADC,"['<0000000000000001>', 'rax']",75989273804,0.9612217903137207,1800000,1
SBB,"['rax', 'rax']",11237696034,0.14565502007802328,1800000,1
SBB,"['rax', 'rcx']",10656249719,0.1383772611618042,1800000,1
SBB,"['rax', '0']",5553168930,0.0720036506652832,1800000,1
SBB,"['rax', '<0000000000000001>']",10950783795,0.14093740781148276,1800000,1
SBB,"['<0000000000000001>', 'rax']",56390189056,0.7165151596069336,1800000,1
AND,"['rax', 'rax']",8923549969,0.11444471677144369,1800000,1
AND,"['rax', 'rcx']",5787604309,0.07483136653900146,1800000,1
AND,"['rax', '0']",6185263650,0.08004387219746907,1800000,1
AND,"['rax', '<0000000000000001>']",13632564974,0.1727764368057251,1800000,1
AND,"['<0000000000000001>', 'rax']",50938557235,0.6447976032892863,1800000,1
OR,"['rax', 'rax']",7286161408,0.0938795566558838,1800000,1
OR,"['rax', 'rcx']",8010771114,0.1030026117960612,1800000,1
OR,"['rax', '0']",7697843268,0.09892539183298747,1800000,1
OR,"['rax', '<0000000000000001>']",11675976772,0.14801782766977947,1800000,1
OR,"['<0000000000000001>', 'rax']",68557229260,0.8654730161031087,1800000,1
XOR,"['rax', 'rax']",1706349909,0.022129273414611815,1800000,1
XOR,"['rax', 'rcx']",6385445546,0.08196525573730469,1800000,1
XOR,"['rax', '0']",9352365124,0.11981632709503173,1800000,1
XOR,"['rax', '<0000000000000001>']",14491180509,0.18303528626759846,1800000,1
XOR,"['<0000000000000001>', 'rax']",40663401540,0.5154055913289388,1800000,1
