,cores,frequency,input,regions,total_time,start_time,stop_time,global_start,rapl_sample-sysfs_power,energy
23,10,1.4,1,1,51.76723437309265,1596606325.5410023,1596606377.3082366,1596606300.5918036,43.390800668073396,22.462217478203005
24,10,1.6,1,2,21.79430170059204,1596605862.7480717,1596605884.5423732,1596605862.7480717,37.323504414746544,8.134397157383653
25,10,1.6,1,3,10.831025743484497,1596605929.8607953,1596605940.6918209,1596605862.7480717,37.40880818991524,4.051757645380457
26,10,1.6,1,1,45.31842212677002,1596605884.5423732,1596605929.8607953,1596605862.7480717,46.495612123649686,21.07107777262122
27,10,1.8,1,2,19.372367429733277,1596605473.4043782,1596605492.7767456,1596605473.4043782,41.573281274611396,8.053728801114222
28,10,1.8,1,3,9.614326000213623,1596605532.9743333,1596605542.5886593,1596605473.4043782,41.589568723921595,3.9985567192007068
29,10,1.8,1,1,40.19758768081665,1596605492.7767456,1596605532.9743333,1596605473.4043782,52.03993429035275,20.918798215403918
30,10,2.0,1,2,17.442529487609864,1596605122.7197948,1596605140.1623242,1596605122.7197948,44.057953884393065,7.684821597922816
31,10,2.0,1,3,8.661325168609618,1596605176.2529464,1596605184.9142718,1596605122.7197948,44.26742187581145,3.834145352424257
32,10,2.0,1,1,36.09062218666077,1596605140.1623242,1596605176.2529464,1596605122.7197948,56.8097144398738,20.502979403815722
33,10,2.2,1,2,15.861668062210082,1596604802.7688203,1596604818.6304886,1596604802.7688203,47.14828516455695,7.478504489826264
34,10,2.2,1,3,7.864509868621826,1596604851.4878197,1596604859.3523293,1596604802.7688203,47.22487642272801,3.7140050667099063
35,10,2.2,1,1,32.857331132888795,1596604818.6304886,1596604851.4878197,1596604802.7688203,62.09802134227389,20.403752499402888
36,12,1.2,1,2,29.045663022994994,1596604382.047874,1596604411.0935369,1596604382.047874,35.774330117647054,10.390891374705573
37,12,1.2,1,3,14.391006994247437,1596604461.5117164,1596604475.9027233,1596604382.047874,35.882881873934274,5.163908040215428
38,12,1.2,1,1,50.418179225921634,1596604411.0935369,1596604461.5117164,1596604382.047874,43.39915909163382,21.881065813362802
39,12,1.4,1,2,24.94411873817444,1596603926.2385337,1596603951.1826527,1596603926.2385337,37.71189333064516,9.406899450809815
40,12,1.4,1,3,12.370021295547485,1596603994.528094,1596604006.8981152,1596603926.2385337,37.827376825595096,4.679254568873108
41,12,1.4,1,1,43.34544153213501,1596603951.1826527,1596603994.528094,1596603926.2385337,47.10492733376658,20.417838736212477
42,12,1.6,1,2,21.79437460899353,1596603528.012609,1596603549.8069837,1596603528.012609,38.680599382488474,8.430194730423576
43,12,1.6,1,3,10.846709489822388,1596603587.5409677,1596603598.3876772,1596603528.012609,38.75985667289719,4.204169051980696
44,12,1.6,1,1,37.73398394584656,1596603549.8069837,1596603587.5409677,1596603528.012609,50.01623638123955,18.8731186064136
45,12,1.8,1,2,19.376162004470824,1596603173.3344297,1596603192.7105918,1596603173.3344297,43.44386356476684,8.417753385310498
46,12,1.8,1,3,9.594055700302125,1596603226.3726735,1596603235.9667294,1596603173.3344297,43.574750024052726,4.180585788575033
47,12,1.8,1,1,33.66208143234253,1596603192.7105918,1596603226.3726735,1596603173.3344297,56.60503084911543,19.05443157923185
48,12,2.0,1,2,17.445890522003175,1596602851.596965,1596602869.0428555,1596602851.596965,46.563354521626465,8.12339185321517
49,12,2.0,1,3,9.095478773117065,1596602899.2817159,1596602908.3771946,1596602851.596965,46.23344826138288,4.205153472694141
50,12,2.0,1,1,30.23886022567749,1596602869.0428555,1596602899.2817159,1596602851.596965,62.08786956747008,18.77466409560823
51,12,2.2,1,2,15.862953805923462,1596602558.1409247,1596602574.0038786,1596602558.1409247,49.91565067088608,7.918096607848784
52,12,2.2,1,3,7.85001573562622,1596602601.5448117,1596602609.3948274,1596602558.1409247,49.913323357692306,3.918203737752844
