inst,args,energy
PSUBSB,"['xmm0', 'xmm1']",5345221017
PSUBSW,"['xmm0', 'xmm0']",1513809510
PSUBSW,"['xmm0', 'xmm1']",5223009484
PSUBUSB,"['xmm0', 'xmm0']",1509106210
PSUBUSB,"['xmm0', 'xmm1']",5335611255
PSUBUSW,"['xmm0', 'xmm0']",1510030267
PSUBUSW,"['xmm0', 'xmm1']",5205454574
PMAXSW,"['xmm0', 'xmm0']",5341791300
PMAXSW,"['xmm0', 'xmm1']",5208246408
PMAXUB,"['xmm0', 'xmm0']",5335766357
PMAXUB,"['xmm0', 'xmm1']",5206632038
PMINSW,"['xmm0', 'xmm0']",5355162828
PMINSW,"['xmm0', 'xmm1']",5215378909
PMINUB,"['xmm0', 'xmm0']",5345515929
PMINUB,"['xmm0', 'xmm1']",5211335338
PSLLW,"['xmm0', 'xmm0']",10580763170
PSLLW,"['xmm0', 'xmm1']",5542860117
PSLLW,"['xmm0', '0']",5222168439
PSLLD,"['xmm0', 'xmm0']",10563479142
PSLLD,"['xmm0', 'xmm1']",5419241745
PSLLD,"['xmm0', '0']",5344388710
PSLLQ,"['xmm0', 'xmm0']",10552868864
PSLLQ,"['xmm0', 'xmm1']",5419261405
PSLLQ,"['xmm0', '0']",5339720362
PSRLW,"['xmm0', 'xmm0']",10565563187
PSRLW,"['xmm0', 'xmm1']",5419680836
PSRLW,"['xmm0', '0']",5339108693
PSRLD,"['xmm0', 'xmm0']",10562271095
PSRLD,"['xmm0', 'xmm1']",5409756501
PSRLD,"['xmm0', '0']",5288849134
PSRLQ,"['xmm0', 'xmm0']",10469747370
PSRLQ,"['xmm0', 'xmm1']",5546731110
PSRLQ,"['xmm0', '0']",5216868761
PSRAW,"['xmm0', 'xmm0']",10562389060
PSRAW,"['xmm0', 'xmm1']",5530856106
PSRAW,"['xmm0', '0']",5218524637
PSRAD,"['xmm0', 'xmm0']",10560322491
PSRAD,"['xmm0', 'xmm1']",5543356006
PSRAD,"['xmm0', '0']",5215066521
PMULLW,"['xmm0', 'xmm0']",25414952550
PMULLW,"['xmm0', 'xmm1']",25528436872
PMULHW,"['xmm0', 'xmm0']",25393142169
PMULHW,"['xmm0', 'xmm1']",25406009070
PMULHUW,"['xmm0', 'xmm0']",25552466739
PMULHUW,"['xmm0', 'xmm1']",25449798041
PMULUDQ,"['xmm0', 'xmm0']",25419472349
PMULUDQ,"['xmm0', 'xmm1']",25523517303
PMADDWD,"['xmm0', 'xmm0']",25449177634
PMADDWD,"['xmm0', 'xmm1']",25388548096
PAVGB,"['xmm0', 'xmm0']",5344521966
PAVGB,"['xmm0', 'xmm1']",5206437614
PAVGW,"['xmm0', 'xmm0']",5348408251
PAVGW,"['xmm0', 'xmm1']",5213048012
PSADBW,"['xmm0', 'xmm0']",25374167313
PSADBW,"['xmm0', 'xmm1']",25514329156
PCMPEQB,"['xmm0', 'xmm0']",2950874180
PCMPEQB,"['xmm0', 'xmm1']",5222489565
PCMPEQW,"['xmm0', 'xmm0']",3095914086
PCMPEQW,"['xmm0', 'xmm1']",5210977075
PCMPEQD,"['xmm0', 'xmm0']",2975345322
PCMPEQD,"['xmm0', 'xmm1']",5353170534
PCMPGTB,"['xmm0', 'xmm0']",1510034636
PCMPGTB,"['xmm0', 'xmm1']",5217314406
PCMPGTW,"['xmm0', 'xmm0']",1610748177
PCMPGTW,"['xmm0', 'xmm1']",5224280883
PCMPGTD,"['xmm0', 'xmm0']",1514510745
PCMPGTD,"['xmm0', 'xmm1']",5360825139
PAND,"['xmm0', 'xmm0']",5247585484
PAND,"['xmm0', 'xmm1']",5405653947
PANDN,"['xmm0', 'xmm0']",5290264712
PANDN,"['xmm0', 'xmm1']",5408229512
POR,"['xmm0', 'xmm0']",5286190557
POR,"['xmm0', 'xmm1']",5358079180
PXOR,"['xmm0', 'xmm0']",1566050440
PXOR,"['xmm0', 'xmm1']",5289237981
PUNPCKLBW,"['xmm0', 'xmm0']",5391755946
PUNPCKLBW,"['xmm0', 'xmm1']",5275685137
PUNPCKLWD,"['xmm0', 'xmm0']",5376540672
PUNPCKLWD,"['xmm0', 'xmm1']",5287973137
PUNPCKLDQ,"['xmm0', 'xmm0']",5288785783
PUNPCKLDQ,"['xmm0', 'xmm1']",5382982860
PUNPCKLQDQ,"['xmm0', 'xmm0']",5281672942
PUNPCKLQDQ,"['xmm0', 'xmm1']",5402414284
PUNPCKHBW,"['xmm0', 'xmm0']",5325957802
