,phase,sim_time,real_time,sim_en,real_en
63,"[(3401000.0, 1.0), (400000.0, 4.0)]",3.2173409461975098,4.462,25.13520055714845,31.997416
64,"[(3401000.0, 2.0), (3401000.0, 1.0)]",2.322286367416382,2.388,36.56107057871818,33.793981
65,"[(3401000.0, 2.0), (3401000.0, 2.0)]",1.8049578666687012,1.908,34.980102848048205,31.947671999999997
66,"[(3401000.0, 2.0), (3401000.0, 3.0)]",1.9815256595611572,2.048,35.15976454567671,35.06174
67,"[(3401000.0, 2.0), (3401000.0, 4.0)]",1.8046848773956299,2.141,31.515895930912492,35.122226
68,"[(3401000.0, 2.0), (3400000.0, 1.0)]",2.6459944248199463,2.375,30.826839708933825,34.124424
69,"[(3401000.0, 2.0), (3400000.0, 2.0)]",1.9803836345672607,2.015,30.501785852932926,35.304047
70,"[(3401000.0, 2.0), (3400000.0, 3.0)]",2.317173957824707,2.33,30.530369695558548,32.936988
71,"[(3401000.0, 2.0), (3400000.0, 4.0)]",1.8942458629608154,2.118,30.100478804919717,31.88798
72,"[(3401000.0, 2.0), (3300000.0, 1.0)]",2.5758185386657715,2.5469999999999997,30.253067559366222,31.526896999999998
73,"[(3401000.0, 2.0), (3300000.0, 2.0)]",1.969015121459961,1.9820000000000002,30.419716592280864,29.841721
74,"[(3401000.0, 2.0), (3300000.0, 3.0)]",2.1380105018615723,1.964,30.71134258238792,29.745469
75,"[(3401000.0, 2.0), (3300000.0, 4.0)]",1.8048012256622314,2.29,27.647037358992094,31.474469
76,"[(3401000.0, 2.0), (3100000.0, 1.0)]",2.6779022216796875,2.567,29.861404562361237,31.730510000000002
77,"[(3401000.0, 2.0), (3100000.0, 2.0)]",1.9838316440582275,2.062,29.18697703687429,30.421492
78,"[(3401000.0, 2.0), (3100000.0, 3.0)]",2.1713321208953857,2.116,28.639041829495426,31.619914
79,"[(3401000.0, 2.0), (3100000.0, 4.0)]",1.9018750190734863,2.252,27.290984968192575,30.048811
80,"[(3401000.0, 2.0), (2800000.0, 1.0)]",2.882704019546509,2.509,28.83125648038864,31.501446
81,"[(3401000.0, 2.0), (2800000.0, 2.0)]",2.2506561279296875,2.133,28.29784346374273,29.462753999999997
82,"[(3401000.0, 2.0), (2800000.0, 3.0)]",2.5706608295440674,2.225,28.62031889641523,29.501632999999998
83,"[(3401000.0, 2.0), (2800000.0, 4.0)]",1.906461477279663,2.293,25.213010428271293,28.812914
84,"[(3401000.0, 2.0), (2600000.0, 1.0)]",3.1291770935058594,2.5439999999999996,27.76255214327812,31.443828000000003
85,"[(3401000.0, 2.0), (2600000.0, 2.0)]",2.2565948963165283,2.094,28.12045484385967,27.682486
86,"[(3401000.0, 2.0), (2600000.0, 3.0)]",2.4907774925231934,2.237,26.962504503421783,29.317552
87,"[(3401000.0, 2.0), (2600000.0, 4.0)]",2.1013453006744385,2.262,25.577848421611783,27.683217
88,"[(3401000.0, 2.0), (2400000.0, 1.0)]",3.2618517875671387,2.607,26.568556690552235,31.777811999999997
89,"[(3401000.0, 2.0), (2400000.0, 2.0)]",2.3641083240509033,2.168,27.09326059595346,27.096122
90,"[(3401000.0, 2.0), (2400000.0, 3.0)]",2.948822021484375,2.671,25.539322242019175,29.254137
91,"[(3401000.0, 2.0), (2400000.0, 4.0)]",2.223243236541748,2.38,24.84939553182363,27.469962000000002
92,"[(3401000.0, 2.0), (2200000.0, 1.0)]",3.5777220726013184,2.5309999999999997,26.992743325335976,31.356793
