,cores,frequency,input,regions,total_time,rapl_sample-sysfs_power,energy
76,16,1.4,1,1,32.18316860198975,53.7778016,17.30740055937154
77,16,1.4,1,2,12.472041702270507,40.796199049036346,5.088118958337097
78,16,1.6,1,0,21.800199842453004,42.43034165898617,9.249899275494576
79,16,1.6,1,1,28.09493770599365,58.265009056579615,16.3695179988376
80,16,1.6,1,2,10.866448831558227,42.67750878882093,4.637529655120991
81,16,1.8,1,0,19.367543268203736,48.58067544041451,9.408883335907905
82,16,1.8,1,1,24.938378238677977,66.7709763064516,16.651598624960954
83,16,1.8,1,2,9.740729379653931,48.52272408694549,4.726467240945514
84,16,2.0,1,0,17.43910403251648,52.08995873988438,9.084022095143347
85,16,2.0,1,1,22.425642204284667,73.63583857967647,16.513309694002857
86,16,2.0,1,2,8.98608136177063,51.86408951382067,4.660549281253475
87,16,2.2,1,0,15.849765300750732,56.025515278480995,8.879912680175481
88,16,2.2,1,1,20.380629348754884,81.6975580689655,16.650476497019646
89,16,2.2,1,2,8.042501163482665,55.84399207910534,4.4912537126972145
90,18,1.2,1,0,29.055313396453858,38.71601433910034,11.249059300841617
91,18,1.2,1,1,33.409392023086546,50.227408433192224,16.78067178648202
92,18,1.2,1,2,15.414117765426635,39.466132691736604,6.08335617056382
93,18,1.4,1,0,24.960298013687133,38.13630368548387,9.518935051301522
94,18,1.4,1,1,28.64405484199524,54.133054666666666,15.505901866367262
95,18,1.4,1,2,12.475750207901001,39.76683724638049,4.961211280440967
96,18,1.6,1,0,21.811341571807862,40.42264858064516,8.816721954296058
97,18,1.6,1,1,25.037113237380982,58.12148341606426,14.551941618125616
98,18,1.6,1,2,10.88354697227478,41.0408562579001,4.466700868652332
99,18,1.8,1,0,19.382587575912474,40.24210215544041,7.7999606926664
100,18,1.8,1,1,22.20891261100769,66.67681472398189,14.808195513852647
101,18,1.8,1,2,9.750056409835816,41.924499889365585,4.087662388754699
102,18,2.0,1,0,17.44342694282532,44.052059283236986,7.684188777881542
103,18,2.0,1,1,19.971204948425292,73.8214949541206,14.74304205327886
104,18,2.0,1,2,8.804370212554932,45.3211807919411,3.99024454162383
105,18,2.2,1,0,15.862991380691529,43.45730088607594,6.893627893839411
106,18,2.2,1,1,18.162059831619263,81.52682434346222,14.806950616078748
107,18,2.2,1,2,8.038996171951293,45.285997201661736,3.640539581471557
108,2,1.2,1,0,29.064722776412964,28.2773134326461,8.218722757815973
109,2,1.2,1,1,299.68951320648193,28.565655328834332,85.60827339922507
110,2,1.2,1,2,14.591655826568603,28.28200673644538,4.126813083829057
111,2,1.4,1,0,24.95456280708313,29.42489130645161,7.342852981984411
112,2,1.4,1,1,256.95644636154174,29.974614353902798,77.02170385436523
113,2,1.4,1,2,12.449759578704834,29.36877582113821,3.6563419809405038
114,2,1.6,1,0,21.8042311668396,30.88269011059908,6.733733142253735
115,2,1.6,1,1,224.2065969467163,31.38862039259812,70.37535761076727
116,2,1.6,1,2,10.991893577575684,30.706696768658567,3.375247429999821
117,2,1.8,1,0,19.383942127227783,32.76088218652849,6.350350443405959
118,2,1.8,1,1,199.11162300109862,33.754282340397836,67.20869940033934
119,2,1.8,1,2,9.792323589324951,32.65258089233182,3.1974463812432203
120,2,2.0,1,0,17.44439115524292,34.72242416184971,6.057115489375641
121,2,2.0,1,1,179.15764884948732,35.55507510563072,63.69963660591737
122,2,2.0,1,2,8.904521036148072,34.32028529565061,3.0560570238172424
123,2,2.2,1,0,15.863999605178833,37.07043624050633,5.880853858831996
124,2,2.2,1,1,162.67973141670228,38.098527900148724,61.97858286167932
125,2,2.2,1,2,8.171701765060424,36.555424140547316,2.9872002397184296
126,20,1.2,1,0,29.050116348266602,38.9079173217993,11.302795250670071
127,20,1.2,1,1,30.067401075363158,50.217285578595316,15.099032664076756
128,20,1.2,1,2,14.500448417663574,39.1871903681015,5.682318325658185
129,20,1.4,1,0,24.95712809562683,40.60438874193548,10.133689310771118
