name,frequency,input,cores,speedup,ipmi_energy,parallel_frac
completo_black_2,1.4,1.0,22.0,8.351055409236011,1.4221505761146545,0.9221715447249328
completo_black_2,1.4,1.0,24.0,8.58079685034598,1.3917740461826325,0.9218720418821653
completo_black_2,1.4,1.0,26.0,12.750739864995229,0.9288419606685638,0.9584361055898313
completo_black_2,1.4,1.0,28.0,12.860012754529873,0.932509527683258,0.9563966009168049
completo_black_2,1.4,1.0,30.0,12.613604157829034,0.9546548581123352,0.9524695016897906
completo_black_2,1.4,1.0,32.0,12.816459111116812,0.9434113159179688,0.9517164690905435
completo_black_2,1.4,2.0,1.0,1.0,19.41185883261233,
completo_black_2,1.4,2.0,2.0,1.927619055205443,10.070183852005004,0.9624505969687861
completo_black_2,1.4,2.0,4.0,3.4256761040913695,5.754336599622454,0.9441157620221109
completo_black_2,1.4,2.0,6.0,4.770904412819027,4.1781581116199495,0.9484753631249246
completo_black_2,1.4,2.0,8.0,5.964962372172879,3.442596269965172,0.9512621131569253
completo_black_2,1.4,2.0,10.0,6.8748228487561995,3.030086888722011,0.9494907849506872
completo_black_2,1.4,2.0,12.0,6.789976707922741,3.0777582511220656,0.9302444615833104
completo_black_2,1.4,2.0,14.0,7.910651571110759,2.695060320695241,0.9407872520491893
completo_black_2,1.4,2.0,16.0,9.59087218539793,2.2669833371162413,0.9554498090079167
completo_black_2,1.4,2.0,18.0,9.69422445723814,2.310137432193756,0.9496014318543681
completo_black_2,1.4,2.0,20.0,9.677248533614124,2.325751212835312,0.9438577290983095
completo_black_2,1.4,2.0,22.0,9.57579090488915,2.3426038563251494,0.9382161734309572
completo_black_2,1.4,2.0,24.0,9.363313562996787,2.4037294449806215,0.9320349930724336
completo_black_2,1.4,2.0,26.0,11.969760980322183,1.9102993285059928,0.9531143886908252
completo_black_2,1.4,2.0,28.0,9.576429444905703,2.373602404022217,0.9287464634988275
completo_black_2,1.4,2.0,30.0,12.019409940966558,1.937314970076084,0.948415076122001
completo_black_2,1.4,2.0,32.0,11.984867599154484,1.9526228449344636,0.9461279461834948
completo_black_2,1.4,3.0,1.0,1.0,37.36165506269323,
completo_black_2,1.4,3.0,2.0,1.9234280570935585,19.378591319471596,0.960189858609972
completo_black_2,1.4,3.0,4.0,3.5849667165516594,10.500642584910759,0.9614098431716582
completo_black_2,1.4,3.0,6.0,4.824252764096349,7.992845986956044,0.9512568145411474
completo_black_2,1.4,3.0,8.0,5.700687189923405,6.902510525286198,0.9423800591684836
completo_black_2,1.4,3.0,10.0,6.657907105654936,5.968625285114561,0.944225167303427
completo_black_2,1.4,3.0,12.0,7.632807807478282,5.299801690737406,0.947985396454179
completo_black_2,1.4,3.0,14.0,8.390136168524576,4.857081078052521,0.9485672248496467
completo_black_2,1.4,3.0,16.0,9.13933179420144,4.541422326850891,0.9499549977300573
completo_black_2,1.4,3.0,18.0,9.065108332357463,4.721193035507203,0.9420214471208841
completo_black_2,1.4,3.0,20.0,10.263499111887217,4.213469209247165,0.9500708861980304
completo_black_2,1.4,3.0,22.0,10.311391908463994,4.236457140445709,0.9460208291710493
completo_black_2,1.4,3.0,24.0,10.293624987323867,4.245707110881805,0.9421069497760912
completo_black_2,1.4,3.0,26.0,11.555202466456139,3.819929244786501,0.9499972498950979
completo_black_2,1.4,3.0,28.0,11.569428167113106,3.817171902179718,0.9474010565842705
completo_black_2,1.4,3.0,30.0,10.257200420700206,4.3191243999269275,0.933628459573068
completo_black_2,1.4,3.0,32.0,10.285079640286584,4.357841288407643,0.9318934489158005
completo_black_2,1.4,4.0,1.0,1.0,72.80825751993734,
completo_black_2,1.4,4.0,2.0,1.9277293739456867,38.18470874465139,0.9625099731159932
completo_black_2,1.4,4.0,4.0,3.5156618188372915,21.25149130664422,0.9540780459819758
completo_black_2,1.4,4.0,6.0,4.760625767703773,15.910643115639687,0.9479322974427363
completo_black_2,1.4,4.0,8.0,5.856830878235622,13.240411484149195,0.9477247979734827
completo_black_2,1.4,4.0,10.0,6.959248678556598,11.230147058266859,0.9514514750738536
completo_black_2,1.4,4.0,12.0,7.614696853341253,10.490735371589661,0.9476454637522972
completo_black_2,1.4,4.0,14.0,8.32502537740096,9.696197702960536,0.9475633418949433
completo_black_2,1.4,4.0,16.0,9.12342632144445,8.965571287727355,0.9497515265553812
completo_black_2,1.4,4.0,18.0,9.600520375971135,8.807262102804685,0.9485353900248764
completo_black_2,1.4,4.0,20.0,10.108483098644816,8.447790985809432,0.948498093371428
completo_black_2,1.4,4.0,22.0,10.758205462065954,7.962890166535097,0.9502404419293707
completo_black_2,1.4,4.0,24.0,10.589967228779306,8.136619003590415,0.944943653695918
completo_black_2,1.4,4.0,26.0,10.698686825495912,8.100680965086994,0.9427918082879492
completo_black_2,1.4,4.0,28.0,11.372482180262212,7.707654846087098,0.9458487616368881
completo_black_2,1.4,4.0,30.0,10.63981223157307,8.26693401865398,0.9372552196279508
completo_black_2,1.4,4.0,32.0,11.393785544724325,7.7923482492566105,0.9416597238273229
completo_black_2,1.4,5.0,1.0,1.0,144.108120784065,
completo_black_2,1.4,5.0,2.0,1.9115183959775945,75.56315820411399,0.9537113510345507
completo_black_2,1.4,5.0,4.0,3.476874640655636,42.15258660522792,0.949847165111316
completo_black_2,1.4,5.0,6.0,4.789503273436226,31.34561136686325,0.9494520973280262
completo_black_2,1.4,5.0,8.0,5.8608529836947785,26.046385995872686,0.9478587107114065
completo_black_2,1.4,5.0,10.0,6.764449192709133,22.8209064382787,0.946853670563152
completo_black_2,1.4,5.0,12.0,7.641649963620456,20.486148840721615,0.9481507735165678
completo_black_2,1.4,5.0,14.0,8.328037073411593,19.0639455780983,0.9476101226902839
completo_black_2,1.4,5.0,16.0,8.994740750110566,17.96387029489279,0.9480788500413175
completo_black_2,1.4,5.0,18.0,9.501204206278326,17.603047516785168,0.9473825471505792
completo_black_2,1.4,5.0,20.0,9.921674637472925,16.99659106678433,0.9465374348225742
completo_black_2,1.4,5.0,22.0,10.559870935087568,16.049686651741755,0.9484114858923133
completo_black_2,1.4,5.0,24.0,10.857585376494278,15.700029121940787,0.9473723381725534
completo_black_2,1.4,5.0,26.0,11.212494363792409,15.280516373634338,0.9472463301869398
completo_black_2,1.4,5.0,28.0,11.170801580716045,15.486247122846544,0.944202424449588
completo_black_2,1.4,5.0,30.0,10.826611817921174,15.999432391722996,0.9389327586744165
completo_black_2,1.4,5.0,32.0,11.579922822381446,15.206705344338571,0.9431160140595404
completo_black_2,1.5,1.0,1.0,1.0,9.567179286758105,
completo_black_2,1.5,1.0,2.0,1.8351329357003212,5.256635264286628,0.9101606967580458
completo_black_2,1.5,1.0,4.0,3.372513805940836,2.912212118250983,0.9379803681402461
completo_black_2,1.5,1.0,6.0,4.688721260728503,2.1342144897460935,0.9440666797468034
completo_black_2,1.5,1.0,8.0,4.8768717960595005,2.082050784301758,0.9085148860480613
completo_black_2,1.5,1.0,10.0,5.9236562703931765,1.7506135455369949,0.9235392702761664
completo_black_2,1.5,1.0,12.0,5.812485977897263,1.7880518536567689,0.9032253536824696
completo_black_2,1.5,1.0,14.0,7.927652098830676,1.3515898640155792,0.941079189792621
completo_black_2,1.5,1.0,16.0,7.896593947246949,1.376317912340164,0.9315873307159372
completo_black_2,1.5,1.0,18.0,7.913391954000589,1.4043897887070973,0.9250220526788347
completo_black_2,1.5,1.0,20.0,7.904443353177892,1.402101130247116,0.9194619764953287
completo_black_2,1.5,1.0,22.0,7.978334552595564,1.3852729528745018,0.9163110608816113
completo_black_2,1.5,1.0,24.0,11.729039282894696,0.9527466294765472,0.9545128958723361
completo_black_2,1.5,1.0,26.0,12.026920506998932,0.9329727821350098,0.9535273240232376
completo_black_2,1.5,1.0,28.0,12.10687260940122,0.9344083757400513,0.9513801485494388
completo_black_2,1.5,1.0,30.0,11.713509966632648,0.9795285230875015,0.9461674063848919
completo_black_2,1.5,1.0,32.0,11.79712733593558,0.9784328889846802,0.944757265794415
completo_black_2,1.5,2.0,1.0,1.0,17.9825383625186,
completo_black_2,1.5,2.0,2.0,1.9570039399749324,9.397228509146235,0.9780296507601214
completo_black_2,1.5,2.0,4.0,3.5054696433163026,5.310147817171537,0.9529753587961609
completo_black_2,1.5,2.0,6.0,4.951637515970475,3.836095281759898,0.9576559277350877
completo_black_2,1.5,2.0,8.0,5.590718627282424,3.4437640750408174,0.9384367062284674
completo_black_2,1.5,2.0,10.0,6.330695667231946,3.0720015171595985,0.9355994186343605
completo_black_2,1.5,2.0,12.0,7.512588872274576,2.6600644769668578,0.9456982841610839
completo_black_2,1.5,2.0,14.0,7.522247465734959,2.691452205657959,0.9337580079953883
completo_black_2,1.5,2.0,16.0,8.92005799554447,2.302953051042557,0.9470859792765778
completo_black_2,1.5,2.0,18.0,8.917840352652409,2.3778961522579194,0.9400925937209456
